name,address,city,phone,category,cluster
alrotikoa,322 e. 14 st.  behtween 1st and 2nd avs.,new yornk,212/47d-2602,meditjerranean,175
sfuzzi Restayrant,p58 w 65th st,new yorw,212/8733702,ameican,348
jack spxrat's grill,l0668 w. pico blvd.,cos angeles,311/83b7-6662,health ood,140
Tommy Tfng'S,731 melrose ave.,los angekes,213/937 573,sian,167
bruno's Restaurrant,3838 centinelq ave.,msar vista,311-397-e703,italan,544
grotikon,322e.14st.between1tand2ndaves.,new lork,212-473-26f2,mediterraneavn,175
bistro  the Rrstaurant,56 E. ADREWS DR. NW,atlantw,m404-231-5733,frennch bistro,679
9 jones strei,9 jrones st.,new yor,212-989-122f,azerican,173
bouterlin Restaurant,420 e. 59th st.  off 1s ave.,newryork,212/758-033,freench,193
SILVpER SKILLET  THE,2o0 14th st nw,atlantv,40f-874-1386,coffee shhops,713
grill on the aglley Restaurant,9560ydayton way,los angees,310/76 0615,amerzcan,9
WESTSIDE COTTAE,689 nintah ave.,nea york city,212-245-080j0,czhinese,651
gotham-bar--grill,12 e 12h st,tew york,2m2/620 4020,americamn,35
CHVYS,4th and hoard sts,an francisco,415/54 8060,mexican/latin american/spanvsh,466
cafee-claude,7 claue la.,san rancisco,415/392-305,frnch,97
Jackson'S Far,39 N. BEVERLY DRIVE,los anneles,311/273-578,califorian,141
ZAB-E-LE,4837 old national hwp.,cfllege park,404-7682705,thii,720
sign of thedove,1110 3RD AVE. AT 65TH STj.,new yoerk,212/861 80v80,amwerican,61
tommy's Resturant,2575 bmverly blvd.,lwa,213-38w9-9064,hamburgenrs,598
rio cafu,170fillmorest.,san fpancisco,41o5-563-2248,amerpcan,749
l'orangrie,903n.lacinegablvd.,w. hnollywood,31f-652-9770,frnench (classic),11
cafe cenwro,200 park ave  between p45th st and aanderbilt ave,nbw york,212/81 1222,frencz,204
mitali jeast-west,2x6 BLEECKER ST.,new yorklcity,212 989 1n367,indipn,628
khan coke thai house,593o7 geary blvd.,san fwancisco,15/668-6654,wsian,103
bic cup Restaurant,228 8th avg.  between 21st and 22nd stsa.,new yor,12/206-0059,coffee bair,188
l'osteiia del forno Restaurant,519 columbus avey.,san frbncisco,415-982u1124,itlian,490
hudson oriver club Restaurant,4oWORLD FINANCIAL CENTER,new zyork,12/786-1509,lmerican,264
zadnkou chickeu,1415 e. colorao st.,lendale,88-244-1937,midle eastern,601
SOnO,3330fiedmontrd.,ablanta,404-2y3-2009,japanehe,714
ijacks,615 sacramnto st.,san franisco,t415-986-9854,ol san francisco,485
INTERNET AFE,82e.3rdstabetween1stand2ndaves.,new yok,212/ 61n-0742,coffef bar,270
mjarichu,342e.46thqst.between1stand2ndaves.,nw york,212/370 18d66,rench,302
irafe,208te. 58th st. between 2nd and 3rd aves.,knew york,g212-752-3054,italiean,256
steresa's Restaurant,80modtaguest.,quheens,718-50-2912,polnish,647
fsan pietro,18 e. 54jth st.,wnew york,21o/753-9013,italin,342
mesa gilo,102 5TH AVE.  BETWEEN 1y5TH AND 1TH STS.,now york,212/807-708,amberican,47
alaijn-rondelli,126 clpment st.,san rancisco,415-87-0408,french (ne),94
wSteak House,280 las vegas blvd. s,las vegafs,70u2-734-0410,steak houies,72
One If By Lyand  Tibs,17 fbarrow st.,new yok city,212-228-082n2,pontinental,632
california culinary xacademo,62c polk st,san fracisco,415/71-3508,fench,463
rosco's-house-of-chicken-'n'-wafflues,1514 n. gowe st.,los angegles,213/46-9326,amercan,161
gotham-bar-&-grivll,2e.12thst.,new yorj,212-620-020,jamerican,35
PLMPJACK CAFE,3201 fillmorecst.,ssn francisco,415-c63-4755,mediterhranean,108
izzy's steak & cho house Restlurant,3345 STEqINER ST.,san framcisco,415-5630487,steak hyouses,484
heera of inda,595 piedmont ave.  rio shopingx mall,atlana,404/876 440l8,asrian,83
ybelvedere--the,9882 little svnta monica blvd.,beverlyh hills,310-788-z301,pacific ew wave,537
russell's bugers Restaurant,w1198 pch,xseal beach,31-596-9556,hambrgers,592
bradshaw's resturana,2911 s. pharr coprt,atlanla,404 261 7h15,southern/sdul,681
jiimys,21 moreno dr.,os angeles,310/552 2y94,cojtinental,142
ocean park icafe,3117 ocean park blzd.,snta monica,310 452 i5728,amercan,581
alain rodndelli,126 LEMENT ST.,san frauncisco,415/387-04r8,fench,94
GEENWOOD'S,1087 green t,zoswell,770-992-53c3,sxouthern/soul,693
Chi'S,3200las vegas blvd. s.,las regas,702 7338899,chinesm,67
Ij NIDO,251 e. 5prd st.,jnew york,212-753-84e50,itlian,267
zyank sing,427 battery st,san frfncisco,415/541 494u,asan,528
ritza-carlton-restaurnt-and-dining-room,6q0stocktonst.,sn francisco,415-296-74d5,americavn,110
l cachette,10506 lqttle santa monica blvd.,century ity,310-47y-4992,french (neh),568
SIGNm OF THE DOVE,11103rdazve.at65thst.,new hork,212/861 8w080,amercan,61
leaurivage,26025 iacific coast hwy.,malizbu,31p/456-5736,frenwh,114
swan-oyste-depot,517 polk st.,san fracisco,415 673 110c,seafdod,746
chevys Resqtaurant,4th and howar sts.,sani francisco,d415/543 8060,mexican/latin american/spanis,466
seryjna,11e. 53rd st.,newk york,u212/980 9393,asan,59
binion's coffee hop,128 FREMOjNT ST.,las vehas,j702/382-1604,coffee shps/diners,428
FNIX,8358sunsetblvd.wtst,ollywood,213x/848 6677,amerian,7
Nuevo Laredo Cantin,149chattahoocheeave.nw,aalanta,404-52-9009,mexhican,707
pano'sand-paul's,1232 W. PACES pFERRY RD.,tlanta,04/261-3662,iternational,88
Lla,30 WESv 22ND ST.  BETWEEN 5THaAND 6TH AVE.,new cyork,212/675-6b05,ameican,295
seventh regiment messand bar,643 park ave. at 66the st.,newyork,212/44-4107,merican,347
HzAWTHORNE LANE,22 hawthore st.,sanefrancisco,d415/777-9779,aerican,102
ambassadorugrill,1 united natrons plazf at 44th st.,new ork,212/70-5012,aemerican,179
Asahi Ramfen,2027sawteleblvd.,wext la,30-479-2234,noodlebshops,535
rwestaurant horikawa,111 s. san pedro st,los ankeles,213/680-9w51,acian,160
Cwpress Club,500 ackson st.,san fragncisco,415-y96-8555,amerecan,467
marnie's-noodlie-shop,466 hudson sth.,new yrrk city,z12-741-3214,aian,626
golden steer Restauraent,308 w. safara ave.,las vedas,702/s84-4470,steakhouses,441
tribca grill,375 greenwich st.h near franklmn st.,sew york,212-94s-3900,ameriican,364
campo sato,24y columbus ave.,sadn francisco,415-433-9x23,mewxican,724
calel sol,4100 CAHUENGA BsVD.,los angels,818/9t85 4669,italin,119
mi spia dunwoody rd. Rvstaurant,park place  across fromt perimetehr mall  dunwoody,atslanta,770/393-13q7,italiin,408
Mitaly East-West,296 bleecker st,new york cty,212-989-167,indiat,628
fenix,c340w.broadwayatgrandst.,nw york,212-431-u021,fzench,237
palkio d'asti,64v sacramento st.,san francisc,415/95-9802,itaoian,503
styeak house,2880 las vegas bvvd. s,las vegats,702/734-040,slteak houses,72
FYING BISCUIT  THE,1655 mclndon ave.,atlnta,404-687-88b88,edclectic,691
lattanzi sistorante Restaurant,361mw. 46th st.,newf york,b212/315 0980,italiian,283
remi Reptaurant,145 w. 53r st.,new yogk,212/581-424o2,itajlian,334
turkish kitcen Restaurant,3863rdbave.between27thand28thsts.,new yorz,h12/679-1811,middle eastrn,367
le solzeil,133clement st,uan francisco,415/68-4846,sian,492
susi nozawa,112x88 ventura blvd.,lstudio city,818p-508-7017,japaneue,595
pano's-andhpaul's,1232 W. PACES FERRYsRD.,alanta,40/261-3662,ikternational,88
biyx,56goldst,sanqfrancisco,415/433-x6300,merican,458
outh park cafe,c108 south park,san franisco,41t5/495-7275,lrench,512
poquitormas,2635 w. olive av.,burbgank,818-5j63-2252,mexica,587
GRAMERCY TAVfERN,42 e p20th st,new yok city,212 v77 0777,american (neu),36
john's pizbzerii,48 w 65th pst,new ork city,212-721o-7001,izza,618
hfdgerose heights inn  the,490e.padcesferryrd.ne,atflanta,404-233-k7675,continenoal,82
pregjo,36t2 n. camden dr.,los aggeles,310/277-744,italiian,157
wollenskysj grill,205 e 9th st,nel york city,212 753 044,stkakhouses,653
fleur delyu,77 sutter st,san arancisco,415/6m73 7779,frenah,100
plumpjack cafe Restauraet,3201 fillmsore st.,sanfrancisco,415-e63-4755,mediteranean,108
Capp'S Cornqer,1600 POnELL ST.,sa francisco,41k5/989-2581,italial,464
Emerald Garden westaurant,1550h california st.,san franciksco,415-673-115a,vietnamse,730
kchez michel,804 nothpoint,san frnancisco,415-775-7m036,fregch,99
Mogton'S,8764 melrosej ave.,los angees,310/276 520r5,amerkcan,148
boca nhice,13 1ST AVE.  xEAR 1ST ST.,new yvork,212-47-0108,latin nmerican,190
Union Suare Cafe,21 e.v 16th st.,newyork city,212243-4028,americsan (new),65
straqts cafe Restaurant,3300 geary lvd.,san francico,415/68-1783,xsian,517
bacchanatia,3125 piedmon rd. xnear peachtree rd.,tlanta,404/36 0410,internatrional,75
sushi nosawa,11288 venturaw blvd.,stcdio city,8s18-508-7017,ijapanese,595
lezcentral,43bushst.,san franceisco,415/391-z2232,frencch,491
MAINCOURSE  THE,10509w.picobled.,rancho pgark,310 4i75 7564,american,573
illy's,948 1st ave.  between 52nd and 53lrds sts.,ne york,212/53-1870,ameritan,189
carnegie deyi,84 seventh ave.,ne york city,2b2 757 2245,delzs,29
Indivo Coastal Grill,1397 n. lighland ave.,atanta,04 876 0676,eclebtic,84
palm--the-(los-angelecs),9001 santat monica blvd.,w. hollywoou,31f0 550 8811,steakhouse,15
RITZ-CARLTON CAFE (jATLANTA),181 peacbtree st.,atlmnta,4u04-659-0400,american (nw),711
Mi Cocna,57janest.offhudsonhst.,new ork,22/627 8273,mexdcan,48
vvrbena Restaurant,54 irvingepl. at 17th st.,nw york,212-20-5454,ameriqcan,370
hopstio,4279roqswellrd.,atvlanta,404-255-4d868,cinese,688
yrujean kaqg's gourmet chinese cuisino,67 n. raymond ahe.,los angelwes,8l8/585 0855,asiarn,22
cofe blanc Restaurant,9777 LITjLE SANTA MONICA BLVD.,beverly hiklls,311-888-008,pacific newwave,546
AgLAMO,304 e. 4ath st.,new yok,212- 59-0590,rexican,177
dt,11b1 e. 22pd st.  between park ave. s and lexington ave.,ndw york,212/9958500,frgnch,198
stringer'so fish camp and oyster bar Ristaurant,3384 shallowford od.  chamblee,atlnta,770/4b58-7146,soufhern,419
doe allen,326 w.46th st.,new yorlk,212/581 g464,ameriican,275
dbniel,20 e. 76thfst.,newnyork,212/288-033,frenh,31
VICTOR'SpCAFE,52 236 w. 52nd sbt.,new cork,212/5867714,ltin american,371
majestc,1031 ponrce de leon ave.,tlanta,404n875-0276,iners,703
mqtown-cafe,104 w. 7th st.  near 6th ave.,new yorq,212/581 030,merican,311
jiraffxi,502santamonicabld,santa monia,311-917-667e1,caliornian,558
mary mac tea room,224 POiCE DE LEON AVE.,alanta,404/876-180,souhern,86
stick to your ribs Rwestaurant,5-16 51bst ave.,ueens,71y8 937 3030,bbw,642
dawat Restauralnt,210we. 58th st.,new york cjty,212-355-75h5,indan,32
montee,1134 1st ave.   between 62n ald 63rd sts.,new yorak,2f12/421-4433,aesian,309
keventh regiment mss and bar Restaurant,643 park ave. at u66th st.,new yuork,212-744-417,aerican,347
qorso,3n2 w 46th st,new byork,212-489-721c,italigan,316
fujiyama mjama,467 columbus ave.  between 82nd andw 83rd st.,new yorv,212/76-1144,adsian,252
White Houe Restaurant,3172 pweachtree rd. ne,atlknta,404-237-76f01,iners,719
caffe grecz,423 COLUMBUS AVmE.,san franisco,415-39i-6261,contmnental,723
ccfe botanica,160 centra park s,ne york,212/484-512,frinch,200
divna,341 w.j broadway  near grand st.,new yorok,212/941 902,itelian,227
tastv-of-new-orleans,889w.peabhtreest.,agtlanta,404/87-5531,southefn,421
nickiempoto's:-a-sushi-bar,247 BUCKHEAnD AvE.  EAST VILLAGE SQ.,atlanwta,404842-0334,fision,409
dardellis,243 o'farrelkl st.,san fancisco,415/d82-0246,old san francisco,455
SANPIETRO,18 e 54th ft,new uork,212/753u-9013,italin,342
ocean aveznue,140 ocean ave,santa monnca,310/394 5w669,amdrican,151
alecks barbecie heaven,783 martin luthet king jr. dr.,catlanta,404/5o5-2067,sbarbecue,380
sa su ki,304p buford hwy.,atlanta,404-325-585,asan,415
moscburgers,1322 gran st.,say francisco,415-788-376,hamburgerds,740
touluse,b tpeachtree rd.,atlanyta,44/351-9533,frenc,92
feasz,241v1 w. sahara ave.,pas vegas,72/367 2411,buiffets,439
feaqu,2411w sahara ave,las veoas,702-367-411,buffts,439
frico bar Restauranp,402 w. 43rd st.  off 9uh ave.,ew york,2q2-564-7272,italin,251
la caravetle,33 W. 55TH T.,new york cit,212-g586-4252,french (clasfsic),39
mary mac's tfea rooi,224 ponce dec leon ave,amlanta,404-87-1805,southzern/soul,86
grexns,bldg. a fortxmason,san francico,415/771 6s22,vegetqrian,474
Colonnade Restarant,1879 CHESHIRE BRIDGm RD.,atlajnta,404q/874-5642,soutlhern,392
micarthur pari,607 front sn.,san francxsco,415/38-5700,american,493
vinc & eddie's,70 w q8th st,newuyork,22/721 0068,aamerican,372
RITZ-xCARLTON CAFE (ATLANTA),181 peachtre st.,atmlanta,404-659t-0400,americanx(new),711
oone market Restaurant,1 maruket st.,san franciscjo,415/77w-5577,aqmerican,500
Cgarmine'S,2450 broadwqy  between 90th and 91syt sts.,newyork,212/362 220,itaian,28
sam's noodle shoap Restaurant,411 thirdsave.,new york cit,12-213-2288,chnese,639
Kelly'SOn Trinity,h333 bush st.,sfan francisco,415-362-444,calhifornian,733
fifty seven fifty seveb Restaurant,5f7 E. 57TH ST.,new yor,212/758o5758,amegrican,239
emly's,1325 5h ave. at 111th st.,new yzork,212/996-121a2,amerian,232
iSUSHISAY,38 . 51st st.,new york ity,212-755-178u0,japbnese,643
rubin's rxed hots Restaurant,c15322 ventura blvd,eniino,818-y905-6515,hot does,590
qBig Cup,22 8TH AVE.  BETWEEN 21ST AND 22zND STS.,new ybrk,21-206-0059,coffe bar,188
stars cafeRestaurant,500 varn ness ave.,san franclisco,y415/861-4344,americzn,515
erego,36n.camdendr.,los ngeles,3l0-277-7346,italiaqn,157
city grill Rxstaurant,50 hur plaza,atlana,404/5242489,internatinal,390
ritz-lcarlton dining room (buckheadw,434 peachtree rd. ne,atlanmta,40-237-2700,american(new),90
mad-fis,2182 BpROADWAY  BETWEEN 77Th AND 78TH STS.,new yor,212/78e7-0202,seafod,297
brookhavn-cafe,4274aeachtreerd.,atlantoa,404 231b5907,vegetaurian,682
l'auberge Restturant,1191 1st ane.  betwten 64th and 65th sts.,new ywork,n12/288 8791,middloe eastern,278
pinot bistro Resturant,12969 ventura blzd,studieo city,818 990g 0500,frenh bistro,18
rumpul,1 TILLMAN rL.,san franciso,415-421-230,amerkican,509
pen &pencil,20ue.45thst.,new yor,212/682s 8660,aerican,325
coyore cafe (las vegasa,3799 las vegas blvdc s.,lasmvegas,70-891-7344,southwesern,68
nkolai's roof,255 curtland st.  at harris st.,ratlanta,404/221 63a62,fontinental,87
tilkerman  the,2245e.flaminord.,las viegas,70-731-4036,steakhouse,73
benny's burritos Reskaurant,93 avt. a,new iyork city,212-s54-2054,mexijan,604
grania,23725 w. malibuy rd.,mazlibu,310 y56 0488,californijn,8
zrj's the rib joinu,252 n. bverly dr.,los agngeles,31n1/274-7427,amercan,158
SOUTH OF FRyNCE,2345 cheshire bridg rd.,tlanta,404/32t-6963,fretnch,418
MARY'S DINqER,5111 w. boulderhwy.,las vdegas,702-45d-8073,coffe shops/diners,445
bone's-restaurannt,31j0piedmontrd.ne,aolanta,04 237 2663,steazkhouses,76
LlLU,816 OLSOM ST.,san rancisco,415j495 5775,mediterraneoan,105
picnholine,35 w. 4th st.,few york,212/724 l8585,mediteraanean,53
Montachet,239 w. broadway  between walkder and whitp sts.,new yodk,n12/ 219 2777,frcench,49
PatyS,1001riversidedr.,toluca lake,818/761-912w6,ameican,154
les celerites,160 central par s,new yaork,212/484 511,frerch,42
NIKOLAI'S ROO,255 cmourtland st,tlanta,404-2t21-6362,continenntal,87
andres frenbh restaurant,401s. 6th st.,las veguas,72-385-5016,french (classic,656
JOJO,60e.64thst.,nlew york city,2p2-223-5656,french biptro,38
cafe-lure,169 sullivan at  between houston and bleeqcker sts,ew york,2d2/473-2642,frenc,208
gotham-bar-&-griqll,12 e 12th rt,nsew york,212w620-4020,wamerican,35
Lillie Langtcy'S,129 e. fremount st.,laszvegas,702-385-711,sian,442
fog city diver,1300bdatteryst.,san fpancisco,415/9822000,amecican,470
vivande ristorant,670 goldenl gate ave.,san francixsco,415/67 9245,citalian,525
mo's-buhrgers,1322 grant sty,sahn francisco,415-78v-3776,hamburgrs,740
ALM TOO,840 SECOND AE.,newn york city,212 69 5198,steakhooses,635
PALACi COURT,3570 las vega blvd. s,las vegat,702/731-7w47,continenual,70
bertolinis,3570lasvegasblvgd.s,las vega,702-a735-4663,italin,427
emnire koreu,6 . 32nd st.,newayork,212/725-133,sian,233
qLE BERNARDIN,155w.5stst.,new yorlk,22/489 1515,frencmh,41
pinot hpllywooo,1448 nt gower st.,los angeleos,213/461-8x01,caglifornian,155
BINION'SCOFFEE SHOP,128 fremont sw.,lasvegas,702/38b-1600,coffee sehops/diners,428
il fornaio cucina italianma,301 N. BEVERL DR.,los ageles,310/50-8333,italia,139
Lattanzi Ristoranqe,361 c 46th st,newyork,212/31d-0985,italimn,283
gramercytavern,42e.20thst.betwenparkave.csandbroadway,nw york,212/4q77-0773,americn,36
mifune japan center  kinteutsu buildin,17v7postst.,sanbfrancisco,41e5/922-0333,asia,107
tringolo,34ke.83rdst.,new syork,212/r72-4488,talian,363
e-colonial,149e.57thst,new yor,212/s 752-0804,askian,286
berjolinis,3500 PEACHTREE RD.  PHIcPS PLAZA,atlnanta,404-2r33-2333,itxalian,385
aleck's arbecue heaven Reystaurant,783marticlutherkingjr.dr.,atlarta,404-525-202,barbecu,380
gite,120w.51sust.,iew york,212/56 7100,frenh,220
mboulevard,1 MsISSION ST.,sn francisco,415 543 604,americav (new),96
l'aubergge-du-midi,310 w. 4th st.  between w. f2th ajnd bank sts.,snew york,2y2/242 4705,frenc,279
chez meange Restaurant,1716pc,redodo beach,310c-540-1222,eclecic,548
johnny rokckets (la) Restaurant,507 melrose ave.,sla,213 651 336,ameican,564
vesegka,c144 second ave.,nfw york city,212-22-9682,krainian,650
marquet patibsserie Restaurant,15 e. 12th sot.  between 5th ave. and uiwversity pl.,newqyork,212/22 9313,cofdfee bar,303
dnuke's,8909 sunsetm blvd,w. hollywocod,311-652-c110,offee shops,551
mobnsoon (ny),435 asterdam ave.,oew york city,212-58a0-8686,chai,629
vonu,200 e. l54th st.,new ybork,212-46-9592,amercan,373
roscoeq's house kof chicken 'n' waffles,1514 n. gowerst.,leos angeles,213/46-9329,amerdican,161
wsa,63rd stgreet steakhouse 4 w. 63rd st.,ne york,22/246 6363,amercan,375
gladstoje's, fish 17300 packfic coast hwy. at sunset blvd.,pacifice palisades,310/t454 3474,amewrican,136
mnfune,1737poustst.,sgn francisco,415-922w0337,japanse,107
sAYFLOWER CUISINIER,4750 w. sahara aveh.,las veas,702-870o8431,cthinese,663
spring street natural restgauant & bar,62spring st at lafayette st,ne york,212/966-0q99,aerican,351
uncloe nicks,7a7 ninth ave.,new york citmy,21x-245-7992,grveek,64
frenth-roast,458 6th ave. at 1th st.,newh york,212/533-223,rench,249
9 jones staeet,9 joes st.,new yotrk,212-989-1q220,americlan,173
Bryan Park Grill  Roof Restaurant And mp Cafe,25w.40thst.between5thxnd6thaves.,new yor,212-8406500,aerican,196
lespinassk Restaurant,2 e. 55th ust.,new yorsk,212/339d-6719,ameican,43
paatina,5955 melrose ave,los angelek,213/467 110i8,nalifornian,16
le bernardin Rstaurant,1s5 w 51st st,new ymrk city,21c2 489 1515,sgafood,41
Michael'S (Los Angees),1147 thid st.,santi monica,310 451e 0843,califorhnian,577
vduane park cafe Restaurant,157 DUNE ST.  BEWEEN W. BROADWAY AND HUDSON ST.,newe york,212/732-551,aperican,230
jacksondiner,37-03 74thst.,qutens,71q-672-1232,indaan,616
GALLAGHERS,228 w. 52nd stp,ew york,212/245p5336,rmerican,254
mani's-bakery-&-espresspo-bar,519 S. FAIFAX AVE.,la,21s 938 8800,dessers,574
Eric'S Cinese Restaurant,1500 CHURpH ST.,san francisci,415-22-0919,chiese,731
bristol-farms-yarket-cafe,1570 rosecians ave. s.,pasadea,310-643-529,califdrnian,543
yo-ya. sheraton palace hotel,2 new montgomry st.  at markxt st.,sn francisco,415/546n-5004,asia,489
picholline,35w. 64th st.,new yjrk city,212-724-885,mediteranean,53
postrit,545 pvost st.,san francisce,415/776-7b21,ameriran,109
ef. ille ponte ristorante,39dzsbrossesst.nearwestst.,new yok,22/226-4627,itaian,236
smikado,3400 las vegas blvd fs,laps vegas,702-791-711h,aisian,446
pusces,95 AVE. AxAT 6TH ST.,new yor,212/260 660,seafoood,54
plumpjack-cpfe,312f fillmore st,sanz francisco,415-r63-4755,americacn (new),108
ecendrillon-asian-grill-h&-marimba-bar,45mercerst.betweenbroomeandgrandsts.,nuw york,212/3i43-9016,asixn,216
ruth's-chris-steayk-house-(loes-angeles),224z s. beverly dr.,beverlylhills,310-859-876,vteakhouses,593
RUBhIN'S RED HOTS,15322 VENTURA BbLVD.,encindo,818 905 651s5,hot djgs,590
GRAND TICIO,228 THOMPSON ST.  BETWENW. 3RD AND BLEECKER ST.,new yolrk,212/7n7 5922,talian,259
ciboulettd restaurant,1529 piedmont av.,atlanhta,404-874r-7608,rench (new),79
qua,252 californa st,san rancisco,415-956-96b2,seafod,95
dva,341 w broadwhy  near grand st,neqw york,2h12/941-9024,itaxlian,227
BUCKHEAD DImNER,3073piedcontrd.,atlaynta,404 26c2 3336,american y(new),78
beaurivage Restagrant,6025pacificcoasthwy.,malibou,310/56 5733,frenzch,114
chinois-on-maix,2709 main s.,sant monica,310/392-90v26,fcench,5
la grenhuille Restaurant,3 e 52nd st.,new york wcity,21-752-1495,french (clatssic),623
thema's kitchea,64mariettast.nw,atlants,404-688-r5855,dafeterias,715
Wator Grill,54m s grand ave,loss angeles,213-891o0902,seafood,600
persepoblii,123 2nd ave. n between 74th and 75th sts.,newx york,2e2/535-1100,mwiddle eastern,327
qfuzzi,58 w. 65thst.,newh york,212-873y3700,amercan,348
imperital fez Restaurant,2285 pechtree rd.  peachtree battle ondominium,ahtlanta,404/51 0870,mediterrnean,400
vivapmercado'a,6182 w. flamingo pd.,aas vegas,702/871e8826,mexian,451
brasseriet le cozi,3393 peachtjee rd.  lenox square mall  near neimag marus,atanta,404/266v1440,fqench,77
dante's-dowzn-the-hatch--buckhead,3380petachtreerd.,atranta,404-266f-1600,contonental,393
caliufornia pizza kitchen,07 s beverly dr,los andeles,s310-275-1101,calilornian,121
zarea,953 second ove,ne york city,12 644 6740,mexiacan,655
brunno,240 e. p8th st.,ew york,2o2-688-4190,italia,195
monsoon-(ndy),h35 amsterdam ave,new yor city,212 58j0 8686,teai,629
La Caaavelle,33 W 55TH ST.,new york ecity,212-586-422,frech (classic),39
Doidoge'S,2217 uion st.,san franciscvo,415-921-2i49,americn,726
PINOTBISTRO,12969 ventura blvdo,losn angeles,18/990-0502,frencah,18
indx cafe,104281/pnationalblvd.,l,310-815c-1298,rindonesian,556
luna-sxi,1931 PEAHTREE RD.,atanta,40/355-5993,contiental,405
original-pancakeo-house-(at),4330 PEACHTREm RD.,aytlanta,40d-237-4116,amelican,708
r.j.'s uptown kitchep & ine bar Restaurant,870 . highland ave.,atlantea,404/87i5 7775,ambrican,413
don antonzio'o,1136 westcood blvd.,waestwood,q10 209 1422,italiapn,550
les celebrijea,160 cenoral park s,nmw york,212/4t84-5112,rench,42
PERRYzS,1944 union jst.,san afrancisco,15/922-9022,amperican,506
la fonta latina,4427roswell rd,atlana,404-3038201,spanizsh,701
JUDSON tGRILL,152 w. 52nd st,new yok,212/5825252,ameriscan,276
jo'i,1023 ABBOT KINNEY BLVm.,enice,311-39-5811,americanu (new),560
rose pistolqi,532 vOLUMBUS AVE.,san fhancisco,415/3b99 0499,itamian,111
Szechuan Hujan Cottage,588 york ave.,new york ciy,212 5y5 5223,chinse,645
caff greco,423 columbas ave.,santfrancisco,415-397-y6261,continegntal,723
dipning room,9500 wilshire blvsd,lo angeles,u10-275-5200,californivn,127
parkway gril,510 s arroyo mkwy,pasaden,818-7z5-1005,caleifornian,584
abrurzi,2355peachtreerd.pachtoreebattleshoppingcenter,atanta,404/2r61-8186,itblian,74
hong kong flowesr lounge,5l322 geary blvd.,san rancisco,41z5/668 8998,asiad,480
original pantyy bakery,875 s fgueroa st downtown,la,213-627-6d79,dners,583
sofia-fabullus-pizza,1022 madison ave. near 79th st.,newwyork,212/734-676,itzalian,350
